Text	Theme
"To ensure our risk process drives continuous improvement across the business, the Executive Board monitors the ongoing status and progress of key action plans against each risk quarterly. Risk remains a key consideration in all strategic decision-making by the Board, incorporating debate on risk appetite"	Unclassified
"Our principal risks and uncertaintiesAs with any business, we face risks and uncertainties on a daily basis. It is the effective management of these that places us in a better position to be able to achieve our strategic objectives and to embrace opportunities as they arise"	Unclassified
"Overleaf are details of our principal risks and the mitigating activities in place to address them. It is recognised that the Group is exposed to a number of risks, wider than those listed. However, a conscious effort has been made to disclose those of most concern to the business at this moment in time and those that have been the subject of debate at recent Board or Audit Committee meetings."	Unclassified
"To achieve a holistic view of the risks facing our business, both now and in the future, we consider those that are: – External to our business; – Core to our day-to-day operation; – Related to business change activity; and – Those that could emerge in the future.The ‘risk radar’ below maps our principal risks against these categories. This tool is also used to facilitate wider Executive and Board-level discussions on risk"	Unclassified
Risks highlighted and documented in a centrally managedRisk Register	Unclassified
"Required actions are agreed and assigned,with target deadlinesand quarterly status updates"	Unclassified
Risks assessed in terms of likelihood of occurrence andpotential impact onthe Group	Unclassified
"We continue to drive improvements to our risk management process and the quality of risk information generated, whilst at the same time maintaining a simple and practical approach.During the year we have focused on a number of key areas:"	Unclassified
"1. Evolving risksOur Group Risk Profi le has evolved over the course of the last year, responding to the dynamic environment within which we operate and our strategy to become a truly international, multi-channel retailer. Three new risks have been introduced (M&S.com business resilience, GM margin and Information security)."	Unclassified
"2. Risk appetiteRisk appetite is an expression of the types and amount of risk we are willing to take or accept to achieve our objectives and aims to support consistent, risk informed decision-making across the Group. Our vision for risk management is that all signifi cant risks to the achievement of our strategic objectives are identifi ed, assessed and managed to within acceptable levels"	Unclassified
Risk appetite continues to be a key consideration in strategic decision-making by the Board and we recognise the importance of including the concept in risk discussions across all levels of the organisation. It is especially relevant in determining the nature and extent of mitigating actions and their role in addressing risk likelihood or impact.	Unclassified
	
"Brand and reputation: Our founding principles of Quality, Value, Service, Innovation and Trust continue to inﬂ uence how we do business and our reputation for being one of the UK’s most trusted brand"	Social_Relationship
"GM customer engagementContinued loss of engagement with our customerAs we seek to enhance the M&S brand, it is important that we understand and address our customers’ needs in increasingly competitive UK and international markets and that we deliver a consistent M&S customer experience across all selling channels."	Social_Relationship
Prioritisation of core customer in both GM and Marketing objectives – Regular review of customer reaction to product and in-store and online experience through focus groups and in-house Customer Insight Unit presentations	Social_Relationship
"Ongoing improvements to product style and quality and to store environment, addressing specifi c customer feedback  – Targeted marketing and promotional activity using customer loyalty data – Increased focus on quality and style, including the introduction of a Clothing Quality Charter  – Updated M&S.com website to enhance the online customer shopping experience"	Social_Relationship
"Food safety and integrityA food safety or integrity related incident occurs or is not effectively managedAs a leading retailer of fi ne quality fresh food, it is of paramount importance that we manage the safety and integrity of our products and supply chain, especially in light of the business’ greater operational complexity and the heightened risk of fraudulent behaviour in the supply chain"	Social_Relationship
Dedicated team responsible for ensuring that all products are safe for consumption through rigorous controls and processes – Continuous focus on quality – Proactive horizon scanning including focus on fraud and adulteration – Established supplier and depot auditing programme	Social_Relationship
"Our organisational culture and structure limit our ability to adapt to market changes with paceTo support our transformation to an international, multi-channel retailer, it is essential that our organisational set-up allows us to respond to market changes and competition with pace"	Intellectual
External hires recruited into a number of senior roles bringing an alternative perspective and new skills – Robust employee engagement process for effective communication – Alignment of development programmes with business strategy  – Faster decision-making enabled through the removal of structural complexity	Human
Programme and workstream managementBenefi ts from our major business programmes and workstreams are not realisedWe continue to undertake a number of major programmes to underpin the achievement of our plan; the delivery of forecasted benefi ts is critical to this	Unclassified
"Strategic Programme Offi ce centrally governs Group initiatives providing regular status and benefi ts realisation updates to the Executive Board – Proactive management of programme portfolio and associated benefi ts in the context of current market conditions and the Group’s three-year plan – Programme governance structures in place for all major programmes, supported by robust project management discipline – Proactive identifi cation and management of major cross-programme interdependencies"	Unclassified
GM logistics and supply chain networkWe fail to evolve our supply chain and logistics network to maximise availability to customers and speed-up delivery times	Social_Relationship
"Now that we have successfully launched the new national e-commerce distribution centre, we must continue to focus on the implementation of our single-tier network, including the full ramp-up of the Castle Donington distribution centre ahead of Christmas peak tradin"	Intellectual
Robust programme governance in place with clear identifi cation of interdependencies with other Group initiatives – Phased approach to distribution centre transformation – Ongoing monitoring of progress against milestone plans and operating objectives – Ongoing review of contingency requirement during Castle Donington facility ramp-up	Intellectual
	
"Selling channels: We have ambitious plans for our UK, International and Multi-channel businesses as part of our transformation to be an international, multi-channel retailer M&S.com business resilienceA major failure of our M&S.com platform or at our Castle Donington distribution centre impacts our ability to trade onlineAs our online ﬂ agship grows and our network infrastructure and operating model evolves, it will become increasingly important to ensure that the M&S.com business is resilient and key dependencies are identifi ed and mitigated"	Intellectual
"Dual site M&S.com command centre operates 24/7 to monitor website availability and performance – Social media monitored 24/7 to observe and respond to trends in customer experience online – Business continuity plans, incident reporting and management procedures are well established and tested with regular monitoring, including quarterly Business Continuity Committee meeting"	Intellectual
"InternationalOur plan to grow our International business is limited by performance in legacy markets, the start-up profi tability of new markets and substandard infrastructure"	Manufactured
"As we continue to increase our international presence and build our position in priority markets, it is crucial that we maximise performance in both legacy and new markets, supported by robust systems and supply chain capability"	Intellectual
"Senior International team strengthened – Local knowledge provided by franchise and joint venture partnerships – Frequent monitoring of performance, including individual country reviews and a particular focus on like-for-like performance and poor performing stores – Property Board approval of new store openings and monitoring of returns on investment – Representation of International in key Group initiative"	Unclassified
"GM marginFailure to improve GM marginIt is important that we deliver increased GM margin through improved design and sourcing capability, whilst continuing to drive improvements to product quality."	Financial
"Robust planning process for all promotional activity – Sourcing capability strengthened through hiring two overseas Sourcing Directors – End-to-end review of General Merchandise design, trading and sourcing underway – Clothing Quality Charter embedded"	Intellectual
"Information securityWe experience a major breach in cyber, system or information securityThe business is subject to external threats from hackers or viruses, or sensitive data is accessed without authorisatio"	Intellectual
"Extensive security controls in place in accordance with International Standards (ISO 27002) – Established processes, policies and technologies in place designed to enhance security – Tight control of sensitive data through limited and monitored access and the roll-out of systems possessing enhanced security – Established team dedicated to managing security requirements for the new M&S.com platform"	Intellectual
"IT changeUnforeseen impact of IT changes to new and existing systems disrupts business operationsAs we undertake a number of signifi cant change programmes, the rate and scale of IT change remains high, with potential to signifi cantly impact our complex and interdependent systems"	Intellectual
"Established Change Approval Board process – Clear decision-making process for system changes, including the adoption of change freezes during critical trading periods – Proactive management of cross-programme dependencies including ‘release management’ to group system changes together – Robust Disaster Recovery plans in place for critical business applications"	Intellectual
"risks emerge. As such, we have removed three risks from our Group Risk Profi le since the prior year:  – Economic outlook: the economic environment in which we operate will always present an inherent risk to our business"	Unclassified
"There are three new risks (Information security, GM margin and M&S.com business resilience). Two have been updated; GM customer engagement (2013: GM product), and GM logistics and supply chain network (2013: Distribution centre restructure). The remaining fi ve risks are broadly consistent with the prior year"	Unclassified
"The risks listed do not comprise all those associated with Marks & Spencer and are not set out in any order of priority. Additional risks and uncertainties not presently known to management, or currently deemed to be less material, may also have an adverse effect on the business.Further information on the fi nancial risks we face and how they are managed is provided on pages 112 to 115."	Unclassified
	
"Emphatically M&SOur brands have distinct identities to make them emphatically different, while remaining emphatically M&S. Carolyn Murphy and David Gandy are the faces of M&S Collection, and Rosie Huntington-Whiteley is now the face of Autograph"	Unclassified
"“ M&S is modern, stylish and has something for ever yone.”"	Unclassified
"achieve their goal. These dynamic women represent and celebrate the unique and diverse women of modern Britain.The campaign, which launched in September and March on social media fi rst, followed by print media with billboard backing, achieved remarkable recognition of 52% at its peak and led to an 89% sell-through of the top items. Web videos of the Leading Ladies reminded our customers that we cater for diverse personalities and tastes. The posters and magazine inserts were powerful symbols of M&S’s heritage and quality. We don’t believe that anyone else could have assembled such a strong line-up"	Social_Relationship
"Our festive campaign For our Christmas TV campaign we revived the popular ‘Magic & Sparkle’ franchise, a fi rm favourite with customers. And for the fi rst time, we combined Food and GM in one campaign. With the nation’s mindset still prudent, people went into Christmas with the desire to escape. So the campaign was a rich fantasy, with fashion at its core, based on our favourite fairy tales, starring Rosie Huntington-Whiteley and Helena Bonham Carter"	Social_Relationship
"The ad was one of our strongest, with recognition peaking at 83%. The campaign dovetailed with our festive food: many products had a sprinkling of Magic & Sparkle of their own, from our Glitter Juice with drinkable glitter to our Whisky Gold Scottish Smoked Salmon topped with gold ﬂ ecks"	Unclassified
"OverviewIntelligence and innovation. Quality and style. A rich history and an extraordinary global reach. These are some of the attributes that make M&S unique. Our aim this year was clear: to reassert M&S as a brand of style and substance in GM, and to showcase the quality, innovation and provenance of our Food."	Intellectual
"In order to stand out in both a competitive marketplace and our customers’ minds, it is crucial that we are consistent in everything we do. We aim to deliver a holistic brand experience that spans our products, our sub-brands, our marketing and, critically, our in-store environments. We have a broad range of customers. But within that we have clear customer groups, and we worked hard this year to remain relevant to each one of these groups via compelling and relevant targeted marketing initiatives."	Intellectual
"There remains plenty to do. Even though we have over 34 million customers, there are many more people who we should appeal to. If the past year has been about restating our values to core customers, next year is about reactivating a love for M&S among lapsed customers and attracting new ones."	Social_Relationship
"Leading campaignsOur ‘Leading Ladies’ campaign by Annie Leibovitz is a powerful expression of what today’s M&S stands for. Arranged in Leibovitz’s signature life-style tableau, the images featured inﬂ uential British women of achievement wearing M&S – from Oscar-winner Emma Thompson to Olympian Nicola Adams and Baroness Lawrence of Clarendon. Although diverse in background, they share one common attribute: an uncompromising drive to"	Unclassified
	
"Leading Ladies overseasAs well as running in the UK, our Leading Ladies campaigns featured in 10 of our international ﬂ agship stores, from Paris to Prague and Singapore to Shanghai"	Social_Relationship
"M&S en VogueAs part of a partnership with Condé Nast, the editors-in-chief of magazines, including Vogue and GQ, choose their favourite M&S products to feature in a Pick of the Month section in their magazines, with a crossover to M&S.com"	Unclassified
"Our plan for the future–  Our marketing activity will seek to excite our regular shoppers, entice lapsed shoppers and recruit future shoppers across all product categories.–  We will ensure that M&S communicates in a relevant and inspirational way with our core customers.–  Our store environments will continue to improve to reﬂ ect our brand reappraisal and improved shopping experience.–  We will build on the M&S.com publishing platform to deliver an authoritative brand point of view"	Social_Relationship
"Socially yours–  We spent over 20% of our Christmas digital marketing budget on social media for the fi rst time, helping us achieve record levels of customer awareness.–  Our Pass the Parcel Facebook game saw customers pass 1.7 million virtual parcels via their mobile phone. –  Over four million people received news of our Valentine’s Day offers on lingerie, food and ﬂ owers through social media"	Social_Relationship
"Make Today DeliciousOur Make Today Delicious food campaign highlighted M&S as the destination for everyday events, such as picnics, barbecues and Sunday roasts."	Unclassified
"Harnessing our brand powerM&S’s reach into customers’ households is exceptional: we sell everything from fashion and furniture to food, ﬂ owers and energy. Consistency in brand execution across all products and media is paramount. We are working hard to close the gap in brand perception between GM and Food and harness the same brand power across our whole business. The same goes for our stores. We are working to bridge the disparity between our ﬂ agships and our smaller regional stores that too often lag in reﬂ ecting the brand. Addressing that"	Intellectual
"Trust in our brandPlan A underpins the trust our customers have in M&S. So we want to make it as easy as possible for them to get involved. Our aim is to engage one million M&S customers in Plan A activities by 2015 and three million by 2020. Through projects like our Shwopping clothes recycling initiative, we will run a continuous programme of Plan A marketing activity encouraging customers to take action"	Social_Relationship
"Staying relevantIt is crucial that M&S remains a modern and contemporary brand, both in the UK and overseas. We must attract the customers of the future to ensure our long-term growth. In order to achieve this, we constantly talk to our customers and study trends across the world to help us give them what they want. As a business, we are continually adapting how we do things to fi t in with changing desires, media consumption and lifestyles. This way, we ensure that we stay relevant."	Social_Relationship
	
“ M&S is great quality at a good price and the recent ranges are so much more stylish.”	Unclassified
"3% of our dresses have sleeves. We have also introduced Dress and Coat shops into every store, from ﬂ agships to market town stores. This contributed to dress sales rising 78% and coat sales rising 29% during the year."	Financial
"Our Limited range of trend-led fashions and our casual Indigo range both had fantastic years, with sales up 64% and 21% respectively."	Financial
"We extended our commitment to British clothing and manufacturing with the launch of our Best of British collection. Every item is designed and made in the UK, celebrating the best in domestic design and craftsmanship"	Intellectual
o	Financial
"A strong teamWe have signifi cantly bolstered the senior GM team that work alongside me and Belinda Earl, our Style Director, and made key appointments to our product, buying and design teams to ensure that we have the right talent in place to take us forward."	Human
"OverviewThe strategy we outlined in May 2013 was to refocus our GM business on the values that make us famous: quality and style. After a year of exciting changes, our customers are noticing the difference in the fabrics, fi t and fi nishes of our clothing. Our strategy is bearing fruit. In the fourth"	Social_Relationship
"We have listened hard to what our customers want and have increased the amount of new products on sale. Around 45% of our Womenswear range was new this year, helping us return our Womenswear business to growth. We have faced a challenging consumer economy and a highly promotional high street, and we are looking for an improvement in performance. But we have a clear strategy, and this year we have taken great strides in implementing it"	Unclassified
"Quality, style, designDetails matter. Our well-received Womenswear relaunch last September was about ensuring that every feature of our garments demonstrated improved quality. We introduced more noble fabrics, upgraded our seams to give a neater fi nish and introduced more innovation."	Intellectual
"Quality, desirability and confi dent style are at the heart of all we do. As the country’s biggest clothing retailer, our shoppers expect nothing less. These attributes have been reﬂ ected in our new store format and our successful ‘Leading Ladies’ marketing campaign. We have listened to customers. In response to their feedback, we have improved availability of smaller sizes and"	Social_Relationship
"Based in Hong Kong, they oversee our GM sourcing in the region and will increase our direct sourcing operations as we look to speed up our supply chain and improve margins."	Financial
	
"AvailabilityAs part of an ongoing overhaul of our systems, we have changed how we send clothing to stores. We now centrally manage and replenish stock, which has led to GM availability improving by 2.3%. We will now begin implementing new GM systems that will support our growth plans for the next decade"	Intellectual
"Trust, traceability and ethics Our customers trust us to source our clothing ethically and we want to have the best supply chain traceability of any retailer in the world – we’re delighted to have recently been named the UK’s mos"	Social_Relationship
ethical High Street Clothing retailer. We are working with the Better Cotton Initiative and WWF towards 50% sustainable cotton and have committed to having traceability on all principal raw materials by 2020.	Social_Relationship
"We regularly revisit our policies to make sure they adhere to our Plan A goal to always do the right thing. Following customers’ concerns about the production of angora wool, we conducted additional visits to the farms our suppliers buy from. We found no evidence that our strict animal welfare policy had not been adhered to"	Social_Relationship
"Listening to customers We recognise the importance of listening to our customers to ensure that we continue to provide the products they want. Every month, we survey 55,000 shoppers to help understand how our customers think and encourage our shoppers to share their suggestions with us."	Social_Relationship
"M&S Studio @ Fashion StreetWe opened a new creative space in the heart of London’s Shoreditch at the British School of Fashion, giving our design teams a vibrant new location where they can draw inspiration for new capsule collections, like our Best of British range, and develop innovative ideas."	Intellectual
"Listening to our suppliersWe now survey 22,500 workers in our clothing supply chain in India, Sri Lanka and Bangladesh four times a year via their mobile phone keypads, and ask local-language questions on issues including working conditions and job satisfaction."	Social_Relationship
"We will continue to build on our design and quality credentials, with the ongoing improvement of our sub-brands."	Intellectual
"We will improve ranging to ensure we are offering our customers the best choice at all of our stores, as well as online."	Social_Relationship
We will improve effi ciency and availability through changes to our supply chain and systems	Intellectual
"We will work to improve margins by building our design, trading and sourcing capabilities"	Financial
The No Peep design on our women’s shirts has a hidden placket and concealed extra button to prevent gaping.–  Hi Heel Hosiery features a secret pad to relieve foot pain from wearing heels all day.–  Our Gym Slim range gently ﬂ attens and ﬂ atters to help increase confi dence in the gym.–  Our Easy Close Ultimate Non-Iron school shirts feature riptape fastenings to help younger children get ready for school.	Unclassified
The interactive HomeOur new Home store concept transforms the way we display products and features a host of interactive services on giant tablets. The 70 stores with the new Home concept are seeing sales 10% ahead of the rest of the estate	Financial
	
“ I trust M&S food completely and they are always coming up with exciting new things.”  M&S Customer Feedback	Social_Relationship
"The market dynamics are working in our favour. People are shopping more locally and more regularly – 41% of our Food customers shop ‘for tonight’. We have introduced more products to more stores, and around 110 stores now stock our full range – M&S customers don’t have to sacrifi ce choice for convenience. The result is that we are seeing more customers shop with us more often. We are growing signifi cantly faster than the overall food market and we plan to open 150 new M&S Simply Food stores over the next three years."	Social_Relationship
"nnovationOur innovation is unrivalled – 20% of our products were new this year. Our team of 35 product developers scour the world for exciting new products. This year, we have introduced customers to the Achacha, a Bolivian tropical fruit, and the Tiddly Pomme, the world’s smallest apple. We also became the fi rst major UK retailer to sell wine from Macedonia and Georgia."	Intellectual
"OverviewOur mission in Food is simple: to delight and excite our customers with high quality, good value products. We have had a very strong year, with sales up 4.2%. The Food division has seen 18 quarters of positive like-for-like sales growth and our customer satisfaction ratings are at an all-time high. During the Christmas period, our market share peaked at 4.7%."	Financial
n	Social_Relationship
"Although inﬂ ation is falling and there are signs of economic recovery, consumers’ budgets remain under pressure. Equally, customers have told us they still want a touch of adventure in the food they eat, and they want to treat themselves on special occasions. We have made M&S food more relevant to our customers, more often. Our promotions are well targeted and our shelves are stocked with new and exciting foods that customers love."	Unclassified
"An extensive rangeWith a catalogue of over 6,400 products, we offer everything from everyday essentials to special occasion food. This year, more people turned to us to help deliver Christmas and we saw record sales."	Financial
"We had more festive show-stoppers than ever before, and the 800 new Christmas products included our Sugar Plum Christmas Pudding, with its hidden centre of Armagnac-soaked plums. With a 38% market share, we are the established market leader in party food and sold 5.5 million packs during the festive season. At the same time, our Simply M&S range of everyday essentials continues to grow – accounting for 11% of total sales."	Financial
"From rice wine to pickle brineOur experts have hand-picked over 100 international food brands for us to sell exclusively at M&S, from fragrant Japanese rice wine to American pickles in brine that doubles as a marinade."	Unclassified
	
"SuppliersWe have embarked on a number of projects to restructure our supply base, aimed at improving our effi ciency and our margins without compromising product quality. One of the projects ensures we utilise our factories better, while another is a review of our processes. We are making progress on effi ciency; over the year availability rose by seven percentage points"	Unclassified
"Doing the right thing Ninety of our suppliers have already signed up to create more vocational  training and work experience placement opportunities for young unemployed people. In turn we are asking them to extend the call to action to their own suppliers, therefore creating a multiplier model through the supply chain"	Social_Relationship
"We continue to develop innovative packaging aimed at reducing our footprint, and we were the fi rst retailer to offer 100% ‘water free’ packaging for all ﬂ ower bouquets bought online."	Intellectual
"Not only will this save over 500,000 litres of water a year, but each bouquet takes up 25% less space, so we can deliver more ﬂ owers using fewer lorries."	Natural
"Trust and provenance Trust is key to us, and we know the importance of provenance to our customers."	Social_Relationship
"Shoppers love to Dine InOur Dine In deals, offering restaurant-quality food at home, remain popular, with 800,000 couples enjoying our £20 Valentine’s Day menu"	Social_Relationship
"Popular productsAs the nation celebrated the birth of the future king, our Prince George commemorative biscuit tin was in our stores within 24 hours of his name being announced. We sold"	Unclassified
"We will accelerate the opening of standalone food stores, both in the UK and overseas.–  We will continue to develop new and exciting products, including frozen recipe dishes for the fi rst time."	Intellectual
"Our store environments will continue to improve, with more theatre and the roll-out of our Tasting Kitchens.–  We will extend our dominance in healthy eating categories"	Unclassified
"Supporting British farmers –  Milk Pledge Plus guarantees a fair price to our farmers, and rewards them for their animal welfare standards.–  We donated £150,000 to support farmers in the ﬂ ood affected areas, and commissioned a review of the impact on British farming, led by Sir John Beddington.–  Farming for the Future, run with our suppliers, helps young people get into farming."	Social_Relationship
	
"Over 60,000 assistants have completed our Notice Me programme, aimed at giving customers the personal touch. Around 10,000 Womenswear employees"	Human
"New concept storesWe have focused on retailing basics to help create uncluttered stores in a two-phase modernisation programme.Phase one is now complete, and we are currently implementing the second phase. Our top 70 stores now have refreshed Womenswear departments, and we are introducing revamped Footwear, Menswear and Beauty departments"	Manufactured
"By introducing high-impact entrance zones highlighting the latest trends and most popular lines on catwalk-style displays, we are inspiring our customers from the moment they enter. We are showcasing our food better in store, bringing theatre to our Food Halls with cooking demonstrations and Event Zones"	Social_Relationship
"We have improved the presentation of the clothes on display and given them more space. Our sub-brands are complementing, rather than competing with, each other, helping our customers fi nd what is right for them. Within M&S Collection, we have created a distinct edit of each of our hero departments. Our new look Coat, Dress and Skirt shops have proved very popular, as has the Cashmere shop, which we introduced to 225 stores this year and is now in a total of 335. We know that seven out of 10 women shop alone and our customers have told us they are looking for helpful advice and guidance about purchases. We have ensured our displays are coordinated and well-accessorised with bags and shoes, and there are more mannequins and outfi t suggestions on display throughout the store"	Unclassified
"ServiceOur customers tell us that they want to be served by engaged and knowledgeable employees when they shop at M&S, which is why we have increased training"	Human
i	Unclassified
"OverviewOur priority over the last year has been to ensure that we offer the very best shopping experience to the 20 million people who shop with us each week. We know that our stores must inspire and impress everyone who enters them. But we also know that we don’t have long – the average customer shopping in our Womenswear department spends 24 minutes in store. That’s why we have improved the look and feel of our stores, sharpened up our merchandising and improved our levels of customer service"	Social_Relationship
"Store portfolioAs the high street evolves and technology continues to change shopping habits, we have focused on maximising the convenience and effectiveness of our space."	Intellectual
"Our roll-out of M&S Simply Food stores enables us to grow market share while gaining a presence in towns where we are under-represented. We opened 11, taking our total number of wholly-owned M&S Simply Foods to 185"	Manufactured
"We also opened a number of larger full line stores on retail parks, including Durham, Bexhill and Fareham in Hampshire. Store openings and extensions added 260,600 sq ft of space."	Manufactured
"Technology means that we can extend the product catalogue of all our stores, whatever their size. Our popular Shop Your Way service enables customers to use all of our owned stores as order and collection points for our entire product range. Some 321 stores are equipped with 1,500 iPads™ and 40,000 store employees have the skills to sell from our new website to maximise selling opportunities"	Intellectual
	
"attended our inaugural Fashion Camp last summer to learn about the changes we had made, and the second phase of this training will take place this summer. Internal communication has also improved. We introduced a new app for our retail team to use on store visits to ensure we are always looking at our stores from a customer’s point of view. By collating feedback for the store manager on presentation, availability, service and knowledge, we can be sure customers get a consistent experience"	Social_Relationship
"Sustainable stores and engaged employeesIn the seven years since it launched, Plan A has become part of the rhythm and routine of our store development programme. We are currently piloting"	Social_Relationship
"our sustainable M&S Simply Food stores and are introducing aspects of our Cheshire Oaks store – one of the world’s largest green stores – into new openings. Throughout M&S, employees remain actively involved with local charities. In September, all our Cafés and Food Halls took part in Macmillan Cancer Support’s ‘World’s Biggest Coffee Morning’, contributing £800,000 of the total £1.2m M&S helped raise for the charity this year."	Social_Relationship
An M&S welcomeThe new Welcome Zones in our stores aim to inspire customers from the second they walk in. The areas showcase the latest trends and our most popular lines	Unclassified
"Customer satisfactionIn its fi rst year, around 680,000 shoppers fi lled out our weekly in-depth satisfaction survey. They tell us they are noticing and liking the differences in our stores"	Social_Relationship
"We will continue to roll-out our new store format. Refreshed Menswear departments will be in our top 70 stores by Christmas, while new Beauty departments will reach another 100 stores"	Manufactured
Shoppers can expect to see new products in-store more often.–  We will ensure that the quality of our space improves as high streets evolve and technology changes shopping habits.	Intellectual
"How our stores use technology –  Our Shop Your Way service gives our customers ﬂ exibility, whether they are ordering products at home for collection in-store or using our Browse and Order in-store screens for home delivery.–  Technology has enhanced our In Touch initiative, ensuring our store employees are better connected and informed.–  Through our Knowledge to Share app, customer-facing employees can improve their know-how of M&S products"	Intellectual
"Love Shwopping As part of our popular Shwopping initiative with Oxfam, over the last two years our customers and employees brought a total of 7.8 million items of clothing into our stores to be resold, reused or recycled, worth £6.1m"	Social_Relationship
	
"Unlike the previous website which ran on an Amazon platform, M&S.com is now wholly run by us, giving us complete control over presentation and delivery options."	Unclassified
"Each of our customers shops our website in a multitude of ways, whether they are buying something via their desktop computer or browsing on a tablet at home. We have designed the site to be ﬂ exible and to cater for their many needs, both now and in the future. Feedback about M&S.com from customers and industry experts has been extremely positive. The website has been built to allow us to make continual improvements as our business develops, ﬂ exing and adapting to future requirements and our customers’ needs"	Social_Relationship
"Castle DoningtonThe new website is only half of the story — it is backed up by our new distribution centre at Castle Donington, which opened in May 2013.The fully automated centre will build its capacity ahead of peak trading this Christmas, when it will be capable of processing 750,000 items a day.Castle Donington forms part of our ongoing plan to replace 110 smaller"	Intellectual
"This has been a landmark year for M&S as two world-class infrastructure projects went live: our new M&S.com website and our 900,000 sq ft distribution centre at Castle Donington. Both developments represent major milestones on our journey to becoming an international, multi-channel retailer"	Manufactured
o	Social_Relationship
"hey also highlight the rapid pace of change that is running through M&S. As we completed this transformative work, we continued to see a very strong performance from our website, with sales rising 23%, ahead of the market. Our online business now accounts for 16% of our General Merchandise sales, up from 13% last year, and we have over 5.5 million visitors to our UK site each week."	Financial
"Our multi-channel strategy focuses on meeting customers’ needs as shopping habits change and technology evolves. Multi-channel shopping presents us with enormous growth opportunities and we will put our customers at the heart of our offer as we adapt and change. Whether customers are shopping in-store, online or with tablets and mobiles, we want to offer them an inspiring, convenient and service-driven experience"	Intellectual
"Our new ﬂ agshipM&S.com is our ‘ﬂ agship’; not just our biggest store, it is also the best expression of today’s M&S and a 24/7 window to our products and style perspective. The industry-leading site, which went live in February, was built around the customer, following over two years of development and testing. As well as including an improved search function, better browsing options and"	Intellectual
	
"o shop online with us. They represent our biggest opportunity for growth. New websites can typically take some months to settle and we deliberately slowed down marketing activity during the launch period. This was reﬂ ected in the post-launch performance during Q4. As our website settles in the coming months, we aim to build growth again and we are well set up to capitalise on this opportunity."	Unclassified
"signifi cantly more with us, appreciating the extended hours and reach of the internet, alongside the social and traditional shopping experience of our stores. It is therefore a crucial tool for driving sales."	Unclassified
"Doing the right thingM&S.com now includes a range of symbols that highlight products with Plan A qualities, for example where a product is Fairtrade or uses sustainable materials, helping customers make informed decisions. In partnership with Remploy, we recruited over 110 of our Castle"	Social_Relationship
"Donington employees through Marks & Start Logistics, the extension of our Marks & Start employability scheme, which helps people with disabilities and health conditions into work"	Human
"Business resilience With M&S.com, we have migrated from the third-party Amazon platform to our own, bespoke platform, which puts us fully in control of how the site functions and evolves. Our 24/7 command centre constantly manages the customer experience from end-to-end and ensures the site runs smoothly at all times."	Intellectual
"Shopping by outfi tWith around 40% of our customers shopping for outfi ts, the new site has a number of features to help them put these together. These include ‘Style With’ recommendations, where shoppers can browse by trend, occasion or as a personalised recommendation."	Unclassified
A strong point of viewM&S.com is about more than selling our products – it is about sharing our point of view. Our specialist editorial team provides stimulating content on the website’s Style & Living editorial hub	Unclassified
"Our plan for the future –  Our delivery times will become faster as we continue to leverage the effi ciencies of Castle Donington.–  We will continue to foster in-house innovation through our Digital Lab, seeking to develop fi rst-to-market e-commerce technologies"	Intellectual
"We will continue to edit M&S.com and publish inspirational content, refi ning and extending the site’s content to meet people’s changing needs.–  We will continue our international growth through both local language sites and deliveries from M&S.com"	Unclassified
"Taking the tablets –  Just under 30% of our online sales are made through iPads™ and other tablets, up from just 5% two years ago."	Financial
We’ve launched a dedicated tablet platform and updated versions of all our mobile sites and apps. We will continue to develop these as shopping habits evolve.	Intellectual
"KalverstraatOur ‘bricks and clicks’ multi-channel strategy extends overseas. We opened a new concept store showcasing our latest digital innovations on Kalverstraat in Amsterdam, which features the world’s fi rst Virtual Rai"	Intellectual
	
I	Natural
"“ M&S Den Haag is a beautiful store, with an even better Food Hall and the clothes are lovely.”"	Unclassified
"Sales in the Middle East grew by 2.6%.In February, we unveiled our largest international store, a 72,000 sq ft ﬂ agship in Kuwait. This year also saw our fi rst store in Lebanon and a new ﬂ agship in Cairo. All three stores were opened with our long-term franchise partner, Al-Futtaim Group, which operates 25 stores across eight markets"	Financial
"The Netherlands and France were the focus of our European growth, where sales rose by 3.9%. We opened our largest continental European store in a prime location in The Hague, which includes an M&S Cafe and in-store Bakery."	Financial
"We also opened our fourth full line store in Paris in the Beaugrenelle mall, with our largest Food Hall outside of the UK and Ireland. Our presence in France will grow strongly. A partnership agreement with Relay France will see us open 10 Food stores at key travel locations in Paris by 2018"	Manufactured
"OverviewOver the year, sales in our International business rose by 6.2% to £1.2bn, driven by strong growth in our priority markets of India, Russia, China, the Middle East and Western Europe."	Financial
"We opened 55 new stores, and now trade from 455 stores in 54 territories. Our strategy remains one of delivering capital-light expansion in a manner appropriate to each individual market, whether through franchise agreements, partnerships or wholly-owned stores."	Manufactured
"A strong, international teamWe have structured our international team to give us a better understanding of our markets and better control of our product catalogue. The team has focused on improving the responsiveness between our overseas stores and the UK. Today’s international leadership team has a stronger overseas background than in previous years. Between them, the team speak 14 languages and have worked in 32 markets"	Human
"Priority marketsOur performance in Asia remains strong. We continue to grow ahead of the competition in India, where we saw double-digit like-for-like growth. Over the year, we opened 10 Indian stores through our partnership with Reliance Retail, taking our total number of stores to 38. In November, we announced plans to double our Indian presence by 2016, which will make it our biggest international market"	Manufactured
	
